datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
ihdp,0.0000,0,563.0500,540.0000,523.9500,563.2000,151.0500,128.0000,111.9500,151.2000,12.1500,8.6500,5.5500,12.2000,46.3416,62.4277,94.4054,46.1639,6.9945,2.2243,26.3249,33.7038,1.7776,2.2243,26.3249,33.7038,1.7776,0.8529,3.5676,2.5194,0.9274,0.6262,225
ihdp,0.0000,1,563.1500,540.3000,518.2000,565.9500,151.1500,128.3000,106.2000,153.9500,12.2000,8.6500,5.1500,10.2500,46.1598,62.4624,100.6214,55.2146,4.6529,2.0803,24.5624,35.8770,1.5322,2.0803,24.5624,35.8770,1.5322,1.4697,2.7618,2.9542,0.8292,0.4369,225
ihdp,0.0000,2,562.8000,541.3500,517.6000,570.2500,150.8000,129.3500,105.6000,158.2500,12.1500,9.1000,4.1000,8.6000,46.3210,59.4890,126.2439,66.3081,3.5731,1.9647,25.7784,34.0682,1.6086,1.9647,25.7784,34.0682,1.6086,1.2757,3.3151,1.3379,1.0198,0.2627,225
ihdp,0.0000,3,563.3000,542.8500,516.6000,571.0500,151.3000,130.8500,104.6000,159.0500,12.3000,8.9500,4.8000,7.3000,45.7967,60.6536,107.6250,78.2260,2.5431,1.9000,25.4721,34.0990,1.5322,1.9000,25.4721,34.0990,1.5322,1.4526,3.3982,2.0149,1.1446,0.2033,225
ihdp,0.0000,4,563.5500,546.0000,516.6500,571.6000,151.5500,134.0000,104.6500,159.6000,11.8500,8.8500,3.8000,7.2000,47.5570,61.6949,135.9605,79.3889,2.1434,2.4995,19.2276,33.7717,1.8815,2.4995,19.2276,33.7717,1.8815,1.4586,3.0046,1.8055,0.9274,0.1496,225
ihdp,0.0000,5,563.7000,541.2500,513.1000,572.5500,151.7000,129.2500,101.1000,160.5500,11.8000,7.9000,3.9000,7.1000,47.7712,68.5127,131.5641,80.6408,2.0254,1.8193,26.7635,37.9801,2.3553,1.8193,26.7635,37.9801,2.3553,1.2490,2.5865,2.2782,0.7681,0.1324,225
ihdp,0.0000,6,563.2000,541.5000,512.2500,572.9000,151.2000,129.5000,100.2500,160.9000,12.0500,8.9500,3.9000,6.4000,46.7386,60.5028,131.3462,89.5156,1.2848,2.4617,28.1629,36.4223,2.9648,2.4617,28.1629,36.4223,2.9648,1.0712,2.7834,1.7292,0.9695,0.0810,225
ihdp,0.0000,7,563.2000,538.5500,500.1500,434.4000,151.2000,126.5500,88.1500,22.4000,12.3000,8.4000,2.8000,2.4000,45.7886,64.1131,178.6250,181.0000,0.0000,2.3791,26.5264,43.5480,12.9399,2.3791,26.5264,43.5480,12.9399,1.5843,3.1528,1.6310,1.5937,0.0000,225
ihdp,0.0500,0,547.4650,528.9925,506.7625,547.8300,148.7000,128.4000,103.7500,149.0500,8.8500,8.1000,5.3000,9.1500,61.8605,65.3077,95.6156,59.8721,5.1748,1.7693,23.6618,31.7584,1.9631,1.8193,25.7651,34.5700,2.0118,0.9097,3.2542,2.4920,0.9631,0.5523,225
ihdp,0.0500,1,547.7775,526.7975,501.4400,550.2850,148.9500,125.8500,98.0000,151.3500,9.2500,7.8500,4.7500,7.9000,59.2192,67.1080,105.5663,69.6563,3.5773,1.7126,25.5855,32.1027,1.0410,1.7741,27.9862,34.9013,1.0618,0.7665,2.3722,2.2333,0.7681,0.3462,225
ihdp,0.0500,2,548.0675,527.8875,499.7700,555.3350,149.2500,127.4000,95.8500,156.4000,8.8500,8.9500,3.5500,6.0000,61.9285,58.9818,140.7803,92.5558,2.6145,1.6190,24.6872,32.3202,1.7295,1.5772,26.9210,35.0404,1.7720,0.8529,2.9912,1.9358,0.8944,0.2742,225
ihdp,0.0500,3,547.1875,527.6225,498.9625,555.1175,148.4000,126.9000,94.8000,156.2000,9.1500,8.1500,3.3000,5.8500,59.8019,64.7390,151.2008,94.8919,2.1660,2.0522,25.1525,32.0062,1.9588,2.1071,27.4771,34.6433,2.0149,0.9631,2.4551,1.1446,0.7921,0.1602,225
ihdp,0.0500,4,548.0950,528.1450,499.3625,554.9900,149.3000,127.4500,95.3500,156.1500,8.8500,7.7000,3.6000,5.7500,61.9316,68.5903,138.7118,96.5200,1.7468,2.3811,24.3625,34.5035,1.3315,2.4920,26.6186,37.4744,1.3143,1.1522,3.1000,1.7720,0.7665,0.1134,225
ihdp,0.0500,5,548.3075,527.8750,499.2475,554.5400,149.5000,127.1500,95.1500,155.6500,8.9500,8.3000,3.4000,6.0500,61.2634,63.5994,146.8375,91.6595,1.5826,1.9398,24.4951,32.9342,1.5884,1.9875,26.6801,35.7914,1.6815,0.5895,2.6851,1.7436,1.0235,0.1346,225
ihdp,0.0500,6,548.4500,525.7250,494.9875,553.6875,149.6500,125.1000,90.4500,154.8000,8.7500,8.8000,3.1500,5.8500,62.6800,59.7415,157.1389,94.6474,1.0314,2.3110,28.9773,35.7626,3.2614,2.4346,31.3973,38.8670,3.4871,0.6982,2.7495,1.6815,1.1948,0.0710,225
ihdp,0.0500,7,547.7950,528.3700,488.5275,432.8225,149.0000,128.0000,83.1000,23.8000,8.8000,9.2500,2.2500,2.3500,62.2494,57.1211,217.1233,184.1798,0.0000,1.8648,24.2630,39.4243,12.4774,1.8974,26.6683,42.7339,13.7354,0.7483,2.7363,1.7284,1.6815,0.0000,225
ihdp,0.1000,0,530.2850,508.8950,487.2950,529.4300,142.0000,117.5500,90.0000,140.3500,8.4500,8.0000,3.8000,7.9500,62.7556,63.6119,128.2355,66.5950,3.6409,2.2046,30.2137,29.5826,1.4595,2.4290,35.4859,34.6958,1.6815,1.0712,2.4698,1.8601,0.4975,0.4829,225
ihdp,0.1000,1,531.3000,511.3850,486.5300,532.2800,142.9500,120.3000,89.3500,143.1000,7.8000,7.3500,3.3500,6.4000,68.1154,69.5762,145.2328,83.1687,2.6775,2.0669,26.3188,28.5020,1.4658,2.1558,31.1000,33.6961,1.5133,0.9274,1.9307,1.5898,0.5831,0.2961,225
ihdp,0.1000,2,530.7900,517.2950,484.5050,535.0900,142.3500,127.1500,86.6500,146.0000,7.9500,8.0000,3.2000,4.9500,66.7660,64.6619,151.4078,108.0990,2.1789,1.7714,20.3573,31.0420,1.7020,2.0316,24.4730,36.6091,1.9494,0.4975,2.5690,1.5362,0.8047,0.1638,225
ihdp,0.1000,3,530.4100,512.8300,487.3350,536.2500,142.0500,122.2500,89.6500,147.5500,8.2000,8.7500,2.8500,5.2000,64.6841,58.6091,170.9947,103.1250,1.7021,2.6186,24.6001,29.5056,1.6978,2.7473,29.4871,34.7768,1.8567,0.9798,2.5274,1.4586,0.6782,0.1314,225
ihdp,0.1000,4,530.6650,508.6400,487.7500,535.9700,142.2500,116.9000,90.2500,147.5000,8.0500,7.6000,2.5000,5.0500,65.9211,66.9263,195.1000,106.1327,1.6043,1.4520,28.0692,29.1565,1.8836,1.6696,33.5528,34.6625,2.0372,0.7399,2.7276,1.2845,0.8047,0.1363,225
ihdp,0.1000,5,529.7500,513.6650,479.7500,536.1900,141.1500,123.0000,80.8500,147.9500,7.9500,7.4000,2.6500,4.9500,66.6352,69.4142,181.0377,108.3212,1.2996,3.0467,22.8851,29.5759,2.4629,3.4681,27.2305,35.3288,2.6168,0.4975,2.4372,1.7400,0.8047,0.0978,225
