datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
ihdp,0.0500,7,548.1975,529.3100,496.2575,555.0875,149.4500,128.7000,91.8500,156.2500,8.9500,7.9000,3.1500,6.0500,61.2511,67.0013,157.5421,91.7500,1.3700,1.6602,23.6382,32.3116,2.1277,1.7741,25.7800,35.0903,2.2108,0.7399,2.5475,1.3883,0.8047,0.1210,225
ihdp,0.0500,8,548.2500,525.6675,496.0950,551.6175,149.5000,125.0500,91.5500,152.6500,8.9500,8.6000,2.9500,5.8000,61.2570,61.1241,168.1678,95.1065,0.8840,1.7534,26.1208,36.2030,4.1343,1.7748,28.8920,39.2358,4.4077,1.0712,3.3226,1.3592,0.9798,0.0804,225
ihdp,0.0500,9,547.2075,527.3775,485.6025,434.0275,148.4000,126.6500,79.8500,25.1500,9.0000,8.3000,2.3500,2.7000,60.8008,63.5395,206.6394,160.7509,0.0000,2.1096,26.1074,37.6872,14.3487,2.2450,28.5732,40.8672,15.5797,0.7071,3.1953,1.2757,1.1874,0.0000,225
ihdp,0.1000,0,529.6750,515.2050,486.8900,529.8050,141.0000,125.1000,90.1000,140.7000,8.0000,8.2500,4.4000,7.9000,66.2094,62.4491,110.6568,67.0639,3.5088,2.3218,22.3812,28.5823,1.5439,2.4698,26.6719,33.8599,1.7635,0.8944,1.8675,1.9079,0.4359,0.4615,225
ihdp,0.1000,1,530.6350,510.7350,484.4000,531.7050,142.2000,119.3500,86.6500,142.6000,8.2500,7.3500,3.4500,6.6500,64.3194,69.4878,140.4058,79.9556,2.9473,2.1453,26.5542,29.6244,1.6621,2.4000,31.8705,34.7624,1.8815,0.7665,2.8684,1.6875,0.7921,0.2267,225
ihdp,0.1000,2,530.9450,510.1850,481.1950,533.9600,142.5500,118.8000,82.9500,144.8500,7.7000,7.6500,3.6000,5.4500,68.9539,66.6908,133.6653,97.9743,2.4278,2.4059,29.2427,26.1756,1.7057,2.6547,34.7874,30.8569,1.9046,0.7810,2.5937,1.8000,0.8047,0.2463,225
ihdp,0.1000,3,530.4350,514.0300,476.6150,535.0200,142.0000,123.4000,78.0000,146.0500,7.9500,8.2000,3.4000,5.2000,66.7214,62.6866,140.1809,102.8885,2.0153,2.0013,25.1503,32.2634,2.0228,2.2361,29.7966,37.7518,2.3340,0.6690,2.7129,1.7146,0.6782,0.1774,225
ihdp,0.1000,4,529.6950,513.7800,485.4150,536.5650,141.1000,123.1000,87.4000,147.9500,8.2000,7.6000,2.9500,5.0000,64.5970,67.6026,164.5475,107.3130,1.6159,2.1944,24.6456,28.9514,1.7474,2.4880,29.0704,33.9447,1.8296,0.8124,2.3537,1.3219,0.7071,0.1642,225
ihdp,0.1000,5,529.7600,511.6750,484.5000,536.8200,141.1500,120.4000,86.3000,148.3000,8.2000,6.9500,2.5000,5.0000,64.6049,73.6223,193.8000,107.3640,1.6071,2.3098,24.5133,27.5712,1.9015,2.7436,29.5489,32.5747,2.2605,0.6782,2.6921,1.8303,0.4472,0.0924,225
ihdp,0.1000,6,530.4800,514.9550,482.9100,535.4750,142.1000,124.4500,84.5000,147.3500,8.1500,7.3500,2.5500,5.2000,65.0896,70.0619,189.3765,102.9760,1.4431,2.0412,24.6489,32.1571,2.6363,2.3643,29.4304,37.9111,2.9030,0.4770,2.3081,1.8835,0.8124,0.0927,225
ihdp,0.1000,7,530.8650,511.5950,481.0500,534.7650,142.5000,120.7500,82.3500,146.5500,8.1000,8.4000,2.6500,5.3000,65.5389,60.9042,181.5283,100.8991,1.0242,1.9111,23.3958,31.4706,2.5697,2.4187,27.8098,37.0625,2.8013,0.8307,2.5768,1.3519,1.1000,0.0631,225
ihdp,0.1000,8,530.2550,511.6550,484.2900,531.0450,141.8000,120.7000,85.9500,142.6000,8.1000,7.7000,2.1000,5.0000,65.4636,66.4487,230.6143,106.2090,0.6758,1.2963,23.9978,32.9630,14.0389,1.5362,28.5484,38.6542,17.0364,0.6245,2.1000,1.3000,1.0954,0.0449,225
ihdp,0.1000,9,531.2450,507.6050,469.1100,429.2150,142.9500,115.6500,67.4000,23.5000,7.9500,7.3500,1.4000,2.2500,66.8233,69.0619,335.0786,190.7622,0.0000,1.8372,29.8351,34.9435,10.9900,2.1089,35.4757,41.0371,13.8076,0.8047,2.3297,1.2806,1.4448,0.0000,225
