datasets,cost,pref_idx,reward_cate,reward_lagrange,reward_constraint,reward_linear,welfare_cate,welfare_lagrange,welfare_constraint,welfare_linear,harm_cate,harm_lagrange,harm_constraint,harm_linear,rr_cate,rr_lagrange,rr_constraint,rr_linear,epsilon,std_cate_reward,std_lagrange_reward,std_constraint_reward,std_linear_reward,std_cate_welfare,std_lagrange_welfare,std_constraint_welfare,std_linear_welfare,std_cate_harm,std_lagrange_harm,std_constraint_harm,std_linear_harm,std_epsilon,panelty
ihdp,0.0000,0,562.9500,527.1500,514.9500,563.9000,150.9500,115.1500,102.9500,151.9000,12.3000,6.8000,4.3000,12.2500,45.7683,77.5221,119.7558,46.0327,7.1095,2.5194,27.2805,25.7536,1.6703,2.5194,27.2805,25.7536,1.6703,1.1446,2.3152,1.9519,1.2196,0.4679,225
ihdp,0.0000,1,562.9500,537.4500,514.4000,569.7000,150.9500,125.4500,102.4000,157.7000,12.3000,6.9500,3.5500,9.2000,45.7683,77.3309,144.9014,61.9239,5.2466,1.7741,14.9949,25.4134,2.0025,1.7741,14.9949,25.4134,2.0025,1.5199,2.4995,2.1089,0.8124,0.4823,225
ihdp,0.0000,2,562.5500,529.7000,516.7500,575.2500,150.5500,117.7000,104.7500,163.2500,12.4500,6.8500,3.7500,6.8500,45.1847,77.3285,137.8000,83.9781,4.4791,2.1789,21.1473,27.1678,1.5772,2.1789,21.1473,27.1678,1.5772,1.0235,2.5549,1.8131,1.2359,0.3264,225
ihdp,0.0000,3,562.8000,526.6000,510.2000,575.9000,150.8000,114.6000,98.2000,163.9000,12.2500,6.7000,2.8500,5.5000,45.9429,78.5970,179.0175,104.7091,3.2878,1.7776,25.7321,27.3927,1.5133,1.7776,25.7321,27.3927,1.5133,1.3739,2.7037,1.8514,0.7416,0.2337,225
ihdp,0.0000,4,563.7500,527.7000,512.1000,576.8500,151.7500,115.7000,100.1000,164.8500,12.1000,6.8500,3.6000,4.7500,46.5909,77.0365,142.2500,121.4421,2.5546,2.0706,24.5339,26.3778,2.4551,2.0706,24.5339,26.3778,2.4551,0.8888,2.8857,2.2450,1.0897,0.2370,225
ihdp,0.0000,5,562.4500,528.8500,509.6000,578.7000,150.4500,116.8500,97.6000,166.7000,12.4000,7.3500,2.5000,3.5000,45.3589,71.9524,203.8400,165.3429,2.2009,1.6576,24.7876,24.3811,2.4310,1.6576,24.7876,24.3811,2.4310,0.8000,2.7618,1.5000,0.5000,0.1559,225
ihdp,0.0000,6,562.7000,530.8000,509.6500,579.0500,150.7000,118.8000,97.6500,167.0500,12.2000,6.5500,2.1000,3.0000,46.1230,81.0382,242.6905,193.0167,1.9753,2.0518,21.5421,25.6150,3.2012,2.0518,21.5421,25.6150,3.2012,0.9274,2.5588,1.3000,0.7746,0.1555,225
ihdp,0.0000,7,562.2500,527.7500,508.3500,580.0500,150.2500,115.7500,96.3500,168.0500,12.7000,6.2500,2.6500,2.2500,44.2717,84.4400,191.8302,257.8000,1.6230,2.6622,29.3698,31.7557,4.1046,2.6622,29.3698,31.7557,4.1046,1.3454,2.9133,2.0561,0.8292,0.0908,225
ihdp,0.0000,8,563.8500,535.7000,499.4500,578.4500,151.8500,123.7000,87.4500,166.4500,12.2000,7.1000,2.0000,1.3500,46.2172,75.4507,249.7250,428.4815,1.0803,2.0316,20.6570,33.1790,4.5768,2.0316,20.6570,33.1790,4.5768,1.2490,3.2542,1.9235,0.4770,0.0620,225
ihdp,0.0000,9,562.7500,526.1500,506.9000,543.7000,150.7500,114.1500,94.9000,131.7000,12.3500,6.6000,1.8500,0.2500,45.5668,79.7197,274.0000,2174.8000,0.0000,2.2776,26.4883,29.7454,21.9114,2.2776,26.4883,29.7454,21.9114,1.4239,2.7641,1.4925,0.4330,0.0000,225
ihdp,0.0500,0,547.3975,514.8925,495.9800,547.9025,148.5500,112.6000,91.0000,149.1000,8.9000,6.2500,2.2500,8.8500,61.5053,82.3828,220.4356,61.9099,5.0527,2.4023,21.2919,23.2754,1.5902,2.4995,23.0617,24.7770,1.5780,0.9434,2.4264,1.0428,0.5723,0.5740,225
ihdp,0.0500,1,548.0050,517.3550,496.7950,553.5650,149.2500,115.3500,91.7500,154.4500,8.7000,6.5000,2.3500,7.2000,62.9891,79.5931,211.4021,76.8840,3.8416,1.6086,21.4176,22.4381,1.3512,1.6394,23.1760,24.0414,1.3955,0.8426,2.1331,1.8782,0.5099,0.4027,225
ihdp,0.0500,2,547.6825,515.9800,498.2575,559.7175,148.9000,113.8000,93.5500,160.4000,9.3000,6.2000,3.0000,5.1500,58.8906,83.2226,166.0858,108.6830,2.9942,2.2984,23.9609,24.9457,1.4435,2.3431,26.1526,26.8877,1.4967,1.1000,2.5417,2.1679,0.6538,0.2312,225
ihdp,0.0500,3,547.8200,515.7000,491.6550,562.1900,149.0000,113.7500,85.9500,162.4500,8.9000,6.5000,1.9500,4.0500,61.5528,79.3385,252.1308,138.8123,2.4310,2.4275,27.6891,25.9512,1.5333,2.5100,29.9664,27.9043,1.5644,0.8307,2.5397,1.8296,0.7399,0.2064,225
ihdp,0.0500,4,548.4375,513.1750,498.1650,563.8375,149.7000,110.9000,93.1000,163.7500,9.0000,6.4500,2.2500,3.3000,60.9375,79.5620,221.4067,170.8598,2.2058,1.9149,28.2743,22.7546,1.7668,1.9000,30.5825,24.4681,1.8405,0.8944,1.3955,1.2196,0.6403,0.1809,225
ihdp,0.0500,5,547.6575,514.6225,494.6975,565.1300,148.8500,112.4000,89.3000,164.8500,9.0500,6.9000,2.4000,3.1000,60.5146,74.5830,206.1240,182.3000,1.8075,1.6757,26.6375,25.9789,1.8247,1.7110,28.8607,27.9466,2.0069,0.8646,2.2113,1.7146,0.6245,0.1598,225
ihdp,0.0500,6,548.1650,515.7025,501.0000,565.7850,149.4000,113.3500,96.2000,165.2500,8.9500,6.2000,2.5500,2.5000,61.2475,83.1778,196.4706,226.3140,1.7880,2.0706,23.5093,23.4874,2.3780,2.1772,25.5935,25.2777,2.5471,0.7399,2.6758,2.1089,0.6708,0.1351,225
ihdp,0.0500,7,547.4325,512.7900,493.5750,564.8525,148.6500,110.4500,88.1000,164.1000,9.0500,7.0500,2.3500,2.0000,60.4898,72.7362,210.0319,282.4262,1.3393,2.1969,25.1978,26.0733,2.6638,2.2198,27.2424,28.1014,2.7911,0.9734,1.9615,1.6815,0.4472,0.0782,225
ihdp,0.0500,8,548.5450,514.6700,490.1800,565.2625,149.7500,112.4500,84.3000,164.0500,8.8500,6.1000,1.9000,1.0500,61.9825,84.3721,257.9895,538.3452,0.8918,2.0598,26.5123,29.6500,4.2132,2.1418,28.8626,31.8577,4.5768,0.7263,2.7911,1.6703,0.4975,0.0625,225
